cook,year,state,face_rating,incumbent,candidate,party,tossup,jpg
LeanDem,1992,ND,-0.31548321,FALSE,Steve Sydness,rep,FALSE,459
SolidRep,1992,NH,0.056278426,FALSE,Judd Gregg,rep,FALSE,322
LikelyDem,1992,NV,0.557436828,TRUE,Harry Reid,dem,FALSE,570
TossupRep,1992,NY,-1.216580699,TRUE,Alfonse M. D'Amato,rep,TRUE,573
LikelyDem,1992,OH,0.368673963,TRUE,"John H. Glenn, Jr.",dem,FALSE,460
LikelyDem,1992,OH,0.029070294,FALSE,Michael Dewine,rep,FALSE,461
LikelyRep,1992,OK,0.776883358,FALSE,Steve Lewis,dem,FALSE,462
LikelyRep,1992,OK,1.761618735,TRUE,Don Nickles,rep,FALSE,575
TossupRep,1992,OR,-0.944940814,FALSE,Les AuCoin,dem,TRUE,463
TossupRep,1992,OR,0.776486503,TRUE,Bob Packwood,rep,TRUE,464
LikelyRep,1992,PA,-0.704656093,FALSE,Lynn Yeakel,dem,FALSE,465
LikelyRep,1992,PA,0.923055799,TRUE,Arlen Specter,rep,FALSE,104
TossupDem,1992,SC,1.323207078,TRUE,Ernest 'Fritz' Hollings,dem,TRUE,466
LikelyDem,1992,SD,-1.270021437,FALSE,Charlene Haar,rep,FALSE,467
LikelyRep,1992,UT,-0.137304004,FALSE,Wayne Owens,dem,FALSE,468
LikelyRep,1992,UT,-0.288112142,FALSE,Robert F. Bennett,rep,FALSE,581
SolidDem,1992,VT,-0.356639709,TRUE,Patrick Leahy,dem,FALSE,593
SolidDem,1992,VT,0.202918408,FALSE,James H. Douglas,rep,FALSE,469
TossupDem,1992,WA,-1.040667721,FALSE,Patty Murray,dem,TRUE,584
TossupDem,1992,WA,0.460199736,FALSE,Rod Chandler,rep,TRUE,470
LeanRep,1992,WI,1.390340185,FALSE,Russell D. Feingold,dem,FALSE,586
LeanRep,1992,WI,0.567625302,TRUE,"Robert W. Kasten, Jr.",rep,FALSE,471
TossupDem,1994,AZ,0.020635462,FALSE,Sam Coppersmith,dem,TRUE,472
TossupDem,1994,AZ,0.23098665,FALSE,Jon Kyl,rep,TRUE,47
LikelyDem,1994,CA,0.911244181,FALSE,Michael Huffington,rep,FALSE,473
LeanRep,1994,DE,-3.977670227,FALSE,"Charles M. Oberly, III",dem,FALSE,474
LeanRep,1994,DE,-0.51480341,TRUE,"William V. Roth, Jr.",rep,FALSE,50
LikelyRep,1994,FL,-2.418460041,FALSE,Hugh E. Rodham,dem,FALSE,475
LikelyRep,1994,FL,1.144168294,TRUE,Connie Mack,rep,FALSE,476
SolidDem,1994,HI,-1.070298943,TRUE,Daniel Akaka,dem,FALSE,55
SolidDem,1994,HI,-2.381766267,FALSE,Maria Hustace,rep,FALSE,477
SolidRep,1994,IN,0.665890342,TRUE,Richard G. Lugar,rep,FALSE,57
LikelyDem,1994,MA,0.180423876,TRUE,Edward M. Kennedy,dem,FALSE,59
LikelyDem,1994,MA,1.843903641,FALSE,W. Mitt Romney,rep,FALSE,478
LikelyDem,1994,MD,1.057904432,TRUE,Paul S. Sarbanes,dem,FALSE,60
LikelyDem,1994,MD,0.477741499,FALSE,William Brock,rep,FALSE,479
SolidDem,1994,ME,-2.931684569,FALSE,Thomas Andrews,dem,FALSE,480
SolidDem,1994,ME,-0.256712427,FALSE,Olympia Snowe,rep,FALSE,62
TossupDem,1994,MI,-2.490958482,FALSE,Spencer Abraham,rep,TRUE,63
TossupRep,1994,MN,-0.451815704,FALSE,Ann Wynia,dem,TRUE,481
TossupRep,1994,MN,0.980786987,FALSE,Rod Grams,rep,TRUE,65
LeanRep,1994,MO,0.300215968,FALSE,Alan Wheat,dem,FALSE,482
LeanRep,1994,MO,-0.819449362,FALSE,John Ashcroft,rep,FALSE,66
LeanRep,1994,MT,0.446043928,FALSE,Jack Mudd,dem,FALSE,483
SolidDem,1994,ND,-1.204844387,TRUE,Kent Conrad,dem,FALSE,69
SolidDem,1994,NE,1.09709002,TRUE,Bob Kerrey,dem,FALSE,484
LeanDem,1994,NJ,0.765532103,TRUE,Frank R. Lautenberg,dem,FALSE,33
LeanDem,1994,NM,1.193226296,TRUE,Jeff Bingaman,dem,FALSE,73
LeanDem,1994,NM,-1.478308258,FALSE,Colin R. McMillan,rep,FALSE,485
LeanDem,1994,NV,0.857183261,TRUE,Richard H. Bryan,dem,FALSE,486
LeanDem,1994,NV,-0.9730906,FALSE,Hal Furman,rep,FALSE,487
SolidDem,1994,NY,-0.058957172,TRUE,Daniel Patrick Moynihan,dem,FALSE,488
SolidDem,1994,NY,1.419229341,FALSE,Bernadette Castro,rep,FALSE,489
TossupDem,1994,OH,-0.812341455,FALSE,Joel Hyatt,dem,TRUE,490
TossupDem,1994,OH,-1.306395307,FALSE,Mike DeWine,rep,TRUE,78
LeanDem,1994,PA,-0.002139085,TRUE,Harris Wofford ,dem,FALSE,492
LeanDem,1994,PA,1.51071191,FALSE,Rick Santorum,rep,FALSE,80
LikelyRep,1994,RI,-0.874437219,TRUE,John F. Chafee,rep,FALSE,493
LikelyDem,1994,TN,-0.002053927,TRUE,Jim Sasser,dem,FALSE,494
LikelyDem,1994,TN,1.028400183,FALSE,Bill Frist,rep,FALSE,84
LeanRep,1994,TX,1.094983348,FALSE,Richard Fisher,dem,FALSE,495
LeanRep,1994,TX,0.838465432,TRUE,Kay Bailey Hutchison,rep,FALSE,86
LikelyRep,1994,UT,0.941852286,FALSE,Patrick A. Shea,dem,FALSE,496
LikelyRep,1994,UT,1.129410218,TRUE,Orrin G. Hatch,rep,FALSE,88
TossupDem,1994,VA,0.124363975,TRUE,Charles S. Robb,dem,TRUE,89
TossupDem,1994,VA,-0.48294113,FALSE,Oliver L. North,rep,TRUE,497
LeanRep,1994,VT,-0.586139755,FALSE,Jan Backus,dem,FALSE,498
LeanRep,1994,VT,0.330425309,TRUE,James M. Jeffords,rep,FALSE,499
LeanRep,1994,WA,0.044896909,FALSE,Ron Sims,dem,FALSE,500
LeanRep,1994,WA,1.179267425,TRUE,Slade Gorton,rep,FALSE,94
LikelyDem,1994,WI,-0.354261941,TRUE,Herb Kohl,dem,FALSE,95
LikelyDem,1994,WI,-0.929508688,FALSE,Robert T. Welch,rep,FALSE,501
SolidDem,1994,WV,1.466836493,TRUE,Robert C. Byrd,dem,FALSE,97
LeanRep,1994,WY,-1.213058281,FALSE,Mike Sullivan,dem,FALSE,502
LeanRep,1994,WY,0.476648883,FALSE,Craig Thomas,rep,FALSE,100
SolidRep,1996,AK,-0.844030411,FALSE,Theresa Nangle Obermeyer,dem,FALSE,503
SolidRep,1996,AK,-0.649139889,TRUE,Ted Stevens,rep,FALSE,2
TossupDem,1996,AL,0.730870274,FALSE,Roger Bedford,dem,TRUE,504
TossupDem,1996,AL,0.43999017,FALSE,Jeff Sessions,rep,TRUE,4
TossupDem,1996,AR,-1.028240708,FALSE,Winston Bryant,dem,TRUE,505
TossupDem,1996,AR,0.843114843,FALSE,Tim Hutchinson,rep,TRUE,336
LeanRep,1996,CO,-1.033163135,FALSE,Tom Strickland,dem,FALSE,506
LeanRep,1996,CO,-0.586976329,FALSE,Wayne Allard,rep,FALSE,507
SolidDem,1996,DE,0.357955926,TRUE,"Joseph R. Biden, Jr.",dem,FALSE,398
SolidDem,1996,DE,-1.070511873,FALSE,Raymond J. Clatworthy,rep,FALSE,508
LikelyDem,1996,GA,0.279966431,FALSE,Max Cleland,dem,FALSE,509
LikelyDem,1996,GA,-1.504756111,FALSE,Guy Millner,rep,FALSE,510
LikelyDem,1996,IA,1.308013552,TRUE,Tom Harkin,dem,FALSE,511
LikelyDem,1996,IA,0.754967621,FALSE,Jim Ross Lightfoot,rep,FALSE,512
SolidRep,1996,ID,-0.639280919,FALSE,Walt Minnick,dem,FALSE,513
SolidRep,1996,ID,0.702593186,TRUE,Larry Craig,rep,FALSE,11
TossupDem,1996,IL,0.701570972,FALSE,Richard J. Durbin,dem,TRUE,514
TossupDem,1996,IL,0.561226213,FALSE,Al Salvi,rep,TRUE,515
SolidRep,1996,KS,-0.552393836,FALSE,Pat Roberts,rep,FALSE,516
LikelyRep,1996,KY,0.585992465,FALSE,Steven L. Beshear,dem,FALSE,517
LikelyRep,1996,KY,0.115202633,TRUE,Mitch McConnell,rep,FALSE,17
TossupDem,1996,LA,1.04120906,FALSE,Mary L. Landrieu,dem,TRUE,341
SolidDem,1996,MA,-0.368650388,FALSE,William F. Weld,rep,FALSE,518
SolidRep,1996,ME,-0.882015131,FALSE,Joseph E. Brennan,dem,FALSE,519
SolidRep,1996,ME,0.256681139,FALSE,Susan M. Collins,rep,FALSE,520
LeanDem,1996,MI,0.591169037,TRUE,Carl Levin,dem,FALSE,342
TossupDem,1996,MN,-0.54311845,TRUE,Paul D. Wellstone,dem,TRUE,418
TossupDem,1996,MN,-0.789914806,FALSE,Rudy Boschwitz,rep,TRUE,419
SolidRep,1996,MS,-3.74289961,FALSE,James W. Hunt,dem,FALSE,521
SolidRep,1996,MS,0.552369635,TRUE,Thad Cochran,rep,FALSE,26
TossupDem,1996,MT,1.7841526,TRUE,Max Baucus,dem,TRUE,421
TossupDem,1996,MT,-0.333857498,FALSE,Dennis Rehberg,rep,TRUE,522
LeanRep,1996,NC,0.50196524,FALSE,Harvey Gantt,dem,FALSE,523
LeanRep,1996,NC,-0.561435285,TRUE,Jesse Helms,rep,FALSE,423
TossupDem,1996,NE,0.166267412,FALSE,Ben Nelson,dem,TRUE,524
TossupDem,1996,NE,0.805651345,FALSE,Chuck Hagel,rep,TRUE,30
LeanDem,1996,NJ,1.017426896,FALSE,Robert G. Torricelli,dem,FALSE,525
LeanDem,1996,NJ,-0.458938791,FALSE,Dick Zimmer,rep,FALSE,526
SolidRep,1996,NM,0.822541075,TRUE,Pete Domenici,rep,FALSE,35
SolidRep,1996,OK,-1.488263331,FALSE,Jim Boren,dem,FALSE,527
SolidRep,1996,OK,-0.15184349,TRUE,James M. Inhofe,rep,FALSE,37
LeanRep,1996,OR,-0.679885752,FALSE,Tom Bruggere,dem,FALSE,528
LeanRep,1996,OR,1.971965232,FALSE,Gordon Smith,rep,FALSE,39
LikelyDem,1996,RI,-0.230422401,FALSE,Jack Reed,dem,FALSE,529
LikelyDem,1996,RI,-0.936375399,FALSE,Nancy J. Mayer,rep,FALSE,530
LikelyRep,1996,SC,-1.783559648,TRUE,J. Strom Thurmond,rep,FALSE,436
TossupRep,1996,SD,-0.465243635,FALSE,Tim Johnson,dem,TRUE,531
TossupRep,1996,SD,0.596200814,TRUE,Larry Pressler,rep,TRUE,438
SolidRep,1996,TN,-0.130347127,FALSE,Houston Gordon,dem,FALSE,532
SolidRep,1996,TX,1.074061171,FALSE,Victor M. Morales,dem,FALSE,533
SolidRep,1996,TX,-0.40698743,TRUE,Phil Gramm,rep,FALSE,441
LeanRep,1996,VA,0.5134886,FALSE,Mark R. Warner,dem,FALSE,534
LeanRep,1996,VA,-0.655433144,TRUE,John W. Warner,rep,FALSE,43
SolidDem,1996,WV,0.327169416,TRUE,"John D. Rockefeller, IV",dem,FALSE,535
SolidRep,1996,WY,0.835293068,FALSE,Michael B. Enzi,rep,FALSE,536
SolidRep,1998,AK,1.599633342,TRUE,Frank Murkowski,rep,FALSE,537
SolidRep,1998,AL,0.111327656,TRUE,Richard C. Shelby,rep,FALSE,538
TossUpDem,1998,AR,0.663704331,FALSE,Blanche Lambert Lincoln,dem,FALSE,539
TossUpDem,1998,AR,-1.052463583,FALSE,"Fay Boozman, MD",rep,FALSE,540
LeanDem,1998,CA,-0.65251467,FALSE,Matt Fong,rep,FALSE,541
LeanRep,1998,CO,-0.6815257,FALSE,Dottie Lamm,dem,FALSE,542
LeanRep,1998,CO,-1.02112264,TRUE,Ben Nighthorse Campbell,rep,FALSE,543
SolidDem,1998,CT,-0.543625744,TRUE,Christopher J. Dodd,dem,FALSE,114
SolidDem,1998,CT,0.652053101,FALSE,Gary A. Franks,rep,FALSE,544
LikelyDem,1998,FL,0.562642095,TRUE,Bob Graham,dem,FALSE,545
LikelyDem,1998,FL,1.194051822,FALSE,Charlie Crist,rep,FALSE,546
LikelyRep,1998,GA,0.423019953,FALSE,Michael J. Coles,dem,FALSE,547
LikelyRep,1998,GA,0.318562236,TRUE,Paul Coverdell,rep,FALSE,548
SolidDem,1998,HI,-0.287563066,TRUE,Daniel K. Inouye,dem,FALSE,549
SolidRep,1998,IA,0.052277059,FALSE,David Osterberg,dem,FALSE,550
SolidRep,1998,IA,-0.403394118,TRUE,Chuck Grassley,rep,FALSE,551
SolidRep,1998,ID,0.576493337,FALSE,Bill Mauk,dem,FALSE,552
SolidRep,1998,ID,0.404805531,FALSE,Mike Crapo,rep,FALSE,553
TossUpDem,1998,IL,0.641232959,TRUE,Carol Moseley-Braun,dem,FALSE,554
TossUpDem,1998,IL,-0.101014576,FALSE,Peter G. Fitzgerald,rep,FALSE,555
LikelyDem,1998,IN,1.044818829,FALSE,Evan Bayh,dem,FALSE,556
LikelyDem,1998,IN,-0.786201817,FALSE,Paul Helmke,rep,FALSE,557
SolidRep,1998,KS,-1.174181119,FALSE,"Paul Feleciano, Jr.",dem,FALSE,558
SolidRep,1998,KS,-0.569085739,TRUE,Sam Brownback,rep,FALSE,559
TossUpDem,1998,KY,0.451407452,FALSE,Scotty Baesler,dem,FALSE,560
TossUpDem,1998,KY,0.011466779,FALSE,Jim Bunning,rep,FALSE,561
SolidDem,1998,LA,1.287534846,TRUE,John B. Breaux,dem,FALSE,562
SolidDem,1998,LA,-0.49130924,FALSE,Jim Donelon,rep,FALSE,563
SolidDem,1998,MD,-0.894180773,TRUE,Barbara Ann Mikulski,dem,FALSE,564
LeanRep,1998,MO,1.819524476,FALSE,Jeremiah W. Nixon,dem,FALSE,565
LeanRep,1998,MO,0.085886179000000007,TRUE,Christopher Bond,rep,FALSE,566
LeanRep,1998,NC,0.79162122,TRUE,Lauch Faircloth,rep,FALSE,567
SolidDem,1998,ND,0.630165308,TRUE,Byron L. Dorgan,dem,FALSE,568
LikelyRep,1998,NH,0.882764935,TRUE,Judd Gregg,rep,FALSE,569
LikelyDem,1998,NV,0.557436828,TRUE,Harry Reid,dem,FALSE,570
LikelyDem,1998,NV,1.334529343,FALSE,John Ensign,rep,FALSE,571
TossUpRep,1998,NY,0.285868302,FALSE,Charles E. Schumer,dem,FALSE,572
TossUpRep,1998,NY,-1.216580699,TRUE,Al D'Amato,rep,FALSE,573
LikelyRep,1998,OH,-0.222503538,FALSE,George V. Voinovich,rep,FALSE,574
SolidRep,1998,OK,1.761618735,TRUE,Don Nickles,rep,FALSE,575
LikelyDem,1998,OR,0.203056758,TRUE,Ron Wyden,dem,FALSE,576
LikelyDem,1998,OR,-1.091710005,FALSE,John Lim,rep,FALSE,577
LikelyRep,1998,PA,0.923055799,TRUE,Arlen Specter,rep,FALSE,104
LeanDem,1998,SC,-0.797529216,TRUE,Fritz Hollings,dem,FALSE,578
LeanDem,1998,SC,0.264426785,FALSE,Bob Inglis,rep,FALSE,579
SolidDem,1998,SD,-0.595470902,FALSE,Ron Schmidt,rep,FALSE,580
SolidRep,1998,UT,-0.288112142,TRUE,Robert F. Bennett,rep,FALSE,581
SolidDem,1998,VT,0.116193581,TRUE,Patrick Leahy,dem,FALSE,582
SolidDem,1998,VT,-2.872336092,FALSE,Fred H. Tuttle,rep,FALSE,583
LeanDem,1998,WA,-1.040667721,TRUE,Patty Murray,dem,FALSE,584
LeanDem,1998,WA,-0.843366492,FALSE,Linda  Smith,rep,FALSE,585
LikelyDem,1998,WI,1.390340185,TRUE,Russ Feingold,dem,FALSE,586
LikelyDem,1998,WI,0.081848667,FALSE,Mark W. Neumann,rep,FALSE,587
SolidRep,2000,AZ,0.23098665,TRUE,Jon Kyl,rep,FALSE,47
SolidDem,2000,CA,-1.405930808,FALSE,Tom Campbell,rep,FALSE,48
LeanRep,2000,DE,0.631436146,FALSE,Thomas R. Carper,dem,FALSE,49
LeanRep,2000,DE,-0.51480341,TRUE,"William V. Roth, Jr.",rep,FALSE,50
TossUpRep,2000,FL,0.729197438,FALSE,Bill Nelson,dem,FALSE,51
TossUpRep,2000,FL,-1.682347119,FALSE,Bill McCollum,rep,FALSE,52
SolidDem,2000,HI,-1.070298943,TRUE,Daniel K. Akaka,dem,FALSE,55
SolidDem,2000,HI,-2.079320871,FALSE,John Carroll,rep,FALSE,332
SolidRep,2000,IN,-0.522170635,FALSE,David L. Johnson,dem,FALSE,56
SolidRep,2000,IN,0.665890342,TRUE,Richard G. Lugar,rep,FALSE,57
SolidDem,2000,MA,0.180423876,TRUE,Edward M. Kennedy,dem,FALSE,59
SolidDem,2000,MA,-0.966099887,FALSE,"Jack E. Robinson, III",rep,FALSE,58
SolidDem,2000,MD,1.057904432,TRUE,Paul S. Sarbanes,dem,FALSE,60
SolidDem,2000,MD,-0.732144809,FALSE,Paul H. Rappaport,rep,FALSE,333
SolidRep,2000,ME,0.737501314,FALSE,Mark W. Lawrence,dem,FALSE,61
SolidRep,2000,ME,-0.256712427,TRUE,Olympia J. Snowe,rep,FALSE,62
TossUpRep,2000,MI,-0.426345615,FALSE,Debbie Stabenow,dem,FALSE,334
TossUpRep,2000,MI,-2.490958482,TRUE,Spencer Abraham,rep,FALSE,63
LeanRep,2000,MN,0.616508814,FALSE,Mark Dayton,dem,FALSE,64
LeanRep,2000,MN,0.980786987,TRUE,Rod Grams,rep,FALSE,65
TossUpRep,2000,MO,0.200010211,FALSE,Mel Carnahan,dem,FALSE,67
TossUpRep,2000,MO,-0.819449362,TRUE,John Ashcroft,rep,FALSE,66
SolidRep,2000,MS,0.279175676,FALSE,"Troy D. Brown, Sr.",dem,FALSE,68
SolidDem,2000,ND,-1.204844387,TRUE,Kent Conrad,dem,FALSE,69
SolidDem,2000,ND,-0.437635715,FALSE,Duane Sand,rep,FALSE,70
SolidDem,2000,NE,-0.57499719,FALSE,Ben Nelson,dem,FALSE,71
SolidDem,2000,NE,1.16187607,FALSE,Don Stenberg,rep,FALSE,72
LikelyDem,2000,NM,1.193226296,TRUE,Jeff Bingaman,dem,FALSE,73
LikelyDem,2000,NM,0.738008322,FALSE,Bill Redmond,rep,FALSE,74
TossUpDem,2000,NV,-0.209544262,FALSE,Ed Bernstein,dem,FALSE,75
TossUpDem,2000,NV,1.959171214,FALSE,John Ensign,rep,FALSE,76
SolidRep,2000,OH,-1.152447457,FALSE,Ted Celeste,dem,FALSE,77
SolidRep,2000,OH,-1.306395307,TRUE,Mike DeWine,rep,FALSE,78
LeanRep,2000,PA,0.39460211,FALSE,Ron Klink,dem,FALSE,79
LeanRep,2000,PA,1.51071191,TRUE,Rick Santorum,rep,FALSE,80
TossUpRep,2000,RI,0.66989449,FALSE,Robert A. Weygand,dem,FALSE,81
TossUpRep,2000,RI,0.088666414,TRUE,Lincoln D. Chafee,rep,FALSE,82
SolidRep,2000,TN,-1.722194624,FALSE,Jeff Clark,dem,FALSE,83
SolidRep,2000,TN,1.028400183,TRUE,Bill Frist,rep,FALSE,84
SolidRep,2000,TX,-2.995223067,FALSE,Gene Kelly,dem,FALSE,85
SolidRep,2000,TX,0.838465432,TRUE,Kay Bailey Hutchison,rep,FALSE,86
SolidRep,2000,UT,0.826962576,FALSE,Scott N. Howell,dem,FALSE,87
SolidRep,2000,UT,1.129410218,TRUE,Orrin G. Hatch,rep,FALSE,88
TossUpDem,2000,VA,0.124363975,TRUE,Charles S. Robb,dem,FALSE,89
TossUpDem,2000,VA,0.204971824,FALSE,George F. Allen,rep,FALSE,90
LikelyRep,2000,VT,0.223337478,FALSE,Ed Flanagan,dem,FALSE,91
LikelyRep,2000,VT,0.180694925,TRUE,Jim Jeffords,rep,FALSE,92
LikelyRep,2000,WA,1.179267425,FALSE,Maria Cantwell,dem,FALSE,94
LikelyRep,2000,WA,-0.713291042,TRUE,Slade Gorton,rep,FALSE,93
SolidDem,2000,WI,-0.354261941,TRUE,Herbert H. Kohl,dem,FALSE,95
SolidDem,2000,WI,-2.392419426,FALSE,John Gillespie,rep,FALSE,96
SolidDem,2000,WV,1.466836493,TRUE,Robert C. Byrd,dem,FALSE,97
SolidDem,2000,WV,-1.703837283,FALSE,David T. Gallaher,rep,FALSE,98
SolidRep,2000,WY,-3.037727977,FALSE,Mel Logan,dem,FALSE,99
SolidRep,2000,WY,0.476648883,TRUE,Craig Thomas,rep,FALSE,100
SolidRep,2002,AK,-1.070095596,FALSE,Frank Vondersaar,dem,FALSE,1
SolidRep,2002,AK,-0.649139889,TRUE,Ted Stevens,rep,FALSE,2
LikelyRep,2002,AL,0.106129937,FALSE,Susan Parker,dem,FALSE,3
LikelyRep,2002,AL,0.43999017,TRUE,Jeff Sessions,rep,FALSE,4
TossUpRep,2002,AR,0.433637935,FALSE,Mark Pryor,dem,FALSE,5
TossUpRep,2002,AR,0.843114843,TRUE,Tim Hutchinson,rep,FALSE,336
LeanRep,2002,CO,-0.790436359,FALSE,Tom Strickland,dem,FALSE,6
LeanRep,2002,CO,-0.231987322,TRUE,Wayne Allard,rep,FALSE,7
SolidDem,2002,DE,0.357955926,TRUE,"Joseph R. Biden, Jr.",dem,FALSE,398
SolidDem,2002,DE,1.010126338,FALSE,Raymond J. Clatworthy,rep,FALSE,8
LikelyDem,2002,GA,-0.37755702,TRUE,Max Cleland,dem,FALSE,9
LikelyDem,2002,GA,-0.698814262,FALSE,Saxby Chambliss,rep,FALSE,338
LeanDem,2002,IA,1.361663931,TRUE,Tom Harkin,dem,FALSE,403
LeanDem,2002,IA,0.178234153,FALSE,Greg Ganske,rep,FALSE,10
SolidRep,2002,ID,0.187738017,FALSE,Alan Blinken,dem,FALSE,340
SolidRep,2002,ID,0.702593186,TRUE,Larry E. Craig,rep,FALSE,11
SolidDem,2002,IL,0.393548775,TRUE,Richard J. Durbin,dem,FALSE,13
SolidDem,2002,IL,0.205291058,FALSE,Jim Durkin,rep,FALSE,12
SolidRep,2002,KS,0.380621598,TRUE,Pat Roberts,rep,FALSE,15
SolidRep,2002,KY,0.440154076,FALSE,Lois Combs Weinberg,dem,FALSE,16
SolidRep,2002,KY,0.115202633,TRUE,Mitch McConnell,rep,FALSE,17
LeanDem,2002,LA,1.04120906,TRUE,Mary Landrieu,dem,FALSE,341
LeanDem,2002,LA,-0.31533309,FALSE,Suzanne Haik Terrell,rep,FALSE,18
LeanRep,2002,ME,-0.522910842,FALSE,Chellie Pingree,dem,FALSE,19
LeanRep,2002,ME,0.791032273,TRUE,Susan M. Collins,rep,FALSE,20
SolidDem,2002,MI,0.591169037,TRUE,Carl Levin,dem,FALSE,342
SolidDem,2002,MI,0.989219502,FALSE,Andrew Raczkowski,rep,FALSE,21
TossUpDem,2002,MN,-0.057984066,FALSE,Walter F. Mondale,dem,FALSE,22
TossUpDem,2002,MN,-0.186607587,FALSE,Norm Coleman,rep,FALSE,23
LeanDem,2002,MO,-0.526126336,TRUE,Jean Carnahan,dem,FALSE,24
LeanDem,2002,MO,0.229123193,FALSE,Jim Talent,rep,FALSE,25
SolidRep,2002,MS,0.552369635,TRUE,Thad Cochran,rep,FALSE,26
LeanDem,2002,MT,1.7841526,TRUE,Max Baucus,dem,FALSE,421
LeanDem,2002,MT,-1.351234701,FALSE,Mike Taylor,rep,FALSE,27
LeanRep,2002,NC,-1.60763301,FALSE,Erskine B. Bowles,dem,FALSE,317
LeanRep,2002,NC,1.374466196,FALSE,Elizabeth H. Dole,rep,FALSE,28
SolidRep,2002,NE,-0.685350894,FALSE,Charlie A. Matulka,dem,FALSE,29
SolidRep,2002,NE,0.805651345,TRUE,Chuck Hagel,rep,FALSE,30
TossUpRep,2002,NH,0.522364777,FALSE,Jeanne Shaheen,dem,FALSE,347
TossUpRep,2002,NH,0.20379087,FALSE,John E. Sununu,rep,FALSE,31
LeanDem,2002,NJ,0.765532103,FALSE,Frank R. Lautenberg,dem,FALSE,33
LeanDem,2002,NJ,0.213824584,FALSE,Douglas R. Forrester,rep,FALSE,32
SolidRep,2002,NM,0.376446798,FALSE,Gloria Tristani,dem,FALSE,34
SolidRep,2002,NM,0.822541075,TRUE,Pete V. Domenici,rep,FALSE,35
SolidRep,2002,OK,-0.040819892,FALSE,David Walters,dem,FALSE,36
SolidRep,2002,OK,-0.15184349,TRUE,James Inhofe,rep,FALSE,37
LikelyRep,2002,OR,1.055497894,FALSE,Bill Bradbury,dem,FALSE,38
LikelyRep,2002,OR,1.971965232,TRUE,Gordon H. Smith,rep,FALSE,39
SolidDem,2002,RI,0.041644398,TRUE,John F. Reed,dem,FALSE,349
SolidDem,2002,RI,-2.851044576,FALSE,Robert G. Tingle,rep,FALSE,348
LeanRep,2002,SC,-0.026117082,FALSE,Alex Sanders,dem,FALSE,350
LeanRep,2002,SC,0.037376192,FALSE,Lindsey Graham,rep,FALSE,351
LikelyDem,2002,SD,0.430813071,TRUE,Tim Johnson,dem,FALSE,352
LikelyDem,2002,SD,2.211542888,FALSE,John Thune,rep,FALSE,590
SolidRep,2002,TN,0.789840554,FALSE,Bob Clement,dem,FALSE,353
SolidRep,2002,TN,-0.717551292,FALSE,Lamar Alexander,rep,FALSE,40
SolidRep,2002,TX,-1.060806061,FALSE,Ron Kirk,dem,FALSE,354
SolidRep,2002,TX,0.483250225,FALSE,John Cornyn,rep,FALSE,41
