Overall,Social,Economic,Random ID,BFI_extraversion,BFI_agreeableness,BFI_conscientiousness,BFI_emot_stability,BFI_openness,TIPI_extraversion,TIPI_agreeableness,TIPI_conscientiousness,TIPI_emot_stability,TIPI_openness,BFI10_1,BFI10_2,BFI10_3,BFI10_4,BFI10_5,BFI10_6,BFI10_7,BFI10_8,BFI10_9,BFI10_10,TIPI_1,TIPI_2,TIPI_3,TIPI_4,TIPI_5,TIPI_6,TIPI_7,TIPI_8,TIPI_9,TIPI_10
3,3,3,73765,2,4.5,4,2.5,2,2,5.5,5,5.5,4,1,5,3,2,2,3,4,5,3,2,2,5,5,5,5,2,6,5,6,3
2,2,2,20017,2,1.5,2,1.5,1.5,2,1.5,NA,2.5,3.5,2,2,2,2,2,2,1,2,1,1,1,1,5,2,5,3,2,NA,3,2
2,2,2,65739,4.5,4.5,3,3,4,6,5.5,4.5,4,6,4,5,2,4,4,5,4,4,2,4,6,4,5,4,6,6,7,4,4,6
2,2,2,12037,3,2,3,1.5,3.5,4.5,4,5,2.5,4,3,2,3,2,4,3,2,3,1,3,5,2,6,2,3,4,6,4,3,5
4,4,2,28944,4,4.5,5,4.5,5,7,4,7,7,6.5,4,4,5,4,5,4,5,5,5,5,7,2,7,7,6,7,6,7,7,7
2,2,2,22818,4,2.5,3.5,3.5,2.5,6,4,5.5,4,4.5,4,3,3,3,3,4,2,4,4,2,6,3,5,4,6,6,5,6,4,3
1,1,2,39087,4.5,4.5,4.5,4,4,6.5,3.5,6.5,4.5,6,4,5,4,4,4,5,4,5,4,4,7,2,7,4,6,6,5,6,5,6
1,1,2,41046,3.5,3,3,2.5,4,5,4,4.5,3,4.5,4,4,2,3,3,3,2,4,2,5,4,2,5,3,6,6,6,4,3,3
2,1,2,58382,3.5,3.5,3.5,1.5,3,5,4,4,2,5,3,4,3,2,3,4,3,4,1,3,5,3,5,1,5,5,5,3,3,5
3,3,2,45846,2,1.5,4,2,5,2,4,7,3,6,2,2,3,2,5,2,1,5,2,5,2,3,7,3,5,2,5,7,3,7
2,1,3,25794,4.5,4.5,3,2,4.5,5.5,4.5,4,3.5,7,4,4,2,2,5,5,5,4,2,4,6,3,5,4,7,5,6,3,3,7
1,1,2,11083,4,4,2.5,3.5,3,6,5.5,3.5,5,6.5,4,4,2,5,2,4,4,3,2,4,6,4,4,5,7,6,7,3,5,6
2,1,2,27795,3,3,3.5,1.5,5,4,5,5,3.5,6.5,3,4,3,2,5,3,2,4,1,5,4,5,5,4,6,4,5,5,3,7
3,3,2,12699,3,4,5,3.5,4,6,5,5.5,6,5,2,4,5,2,4,4,4,5,5,4,6,5,5,6,5,6,5,6,6,5
3,2,3,24147,4,4,4,4,4,5.5,6,6,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,5,6,6,6,6
2,2,2,77253,5,3.5,4.5,4,4.5,7,6.5,4,5,7,5,3,5,4,5,5,4,4,4,4,7,6,5,5,7,7,7,3,5,7
2,1,2,73676,3.5,3.5,4,3,4,4.5,5,5,5.5,5,4,4,4,3,4,3,3,4,3,4,4,4,6,5,5,5,6,4,6,5
2,2,2,15073,4,5,1.5,3.5,4,6.5,5.5,1,5.5,6.5,4,5,1,3,4,4,5,2,4,4,6,5,1,6,7,7,6,1,5,6
2,3,2,58565,4,3.5,3,3.5,3.5,5,7,2.5,4.5,5.5,4,5,2,5,3,4,2,4,2,4,5,7,2,3,6,5,7,3,6,5
