sdo5,female,age,educ,race,favor_trump,favor_blm,favor_metoo,american_customs,race_ident,pid3,ideo5,fear_of_demographic_change,confederate_flag,presvote16
1,1,69,5,1,1,4,4,2,4,1,2,0.0833,Slavery,Clinton
1.5,1,69,6,1,1,3,3,1,4,2,3,0,Slavery,Johnson
2.25,1,41,5,1,4,2,1,4,3,3,5,0.5,Heritage,Trump
1,1,56,2,3,1,4,3,4,4,1,3,0.3333,Slavery,Clinton
1,1,72,3,1,1,3,3,1,2,1,2,0.3333,Slavery,Did not vote
2.5,0,58,4,1,1,2,4,3,3,3,3,0.4167,Heritage,Clinton
1,1,28,5,1,1,3,4,2,3,1,2,0.1667,Slavery,Clinton
1,1,84,5,1,1,3,3,1,2,1,2,0.3333,Slavery,Clinton
3.75,0,68,5,1,4,1,1,5,3,3,4,0.9167,Heritage,Trump
1,0,56,5,1,1,4,4,1,3,1,4,0.5833,Heritage,Clinton
1.25,0,67,6,1,1,4,4,1,1,1,1,0,Slavery,Clinton
4,1,72,6,1,4,1,1,4,3,3,5,0.5833,Heritage,Trump
4.5,0,85,4,1,4,1,NA,5,4,3,4,0.6667,Heritage,Trump
2.75,0,63,5,1,1,4,4,1,2,2,1,0.1667,Slavery,Clinton
3.5,0,72,2,1,1,3,3,3,3,1,3,0.1667,Heritage,Clinton
5,1,64,4,1,4,3,NA,5,4,3,4,0.75,Slavery,Trump
2.25,1,66,5,1,3,1,1,5,3,3,5,0.9167,Heritage,Trump
3,1,73,5,1,4,1,3,2,2,2,4,0.75,Heritage,Trump
4.25,0,45,5,1,3,1,1,3,1,2,5,0.4167,Heritage,Trump
1,1,63,5,2,1,NA,NA,3,4,1,3,0.1667,Slavery,Clinton
2.5,0,71,5,1,4,1,1,5,3,3,4,0.5833,Heritage,Trump
3.5,0,66,5,1,4,1,2,5,4,3,4,1,Heritage,Trump
1,0,72,3,1,1,3,3,1,4,1,3,0.3333,Slavery,Clinton
2.5,0,63,3,1,3,1,1,5,4,3,5,0.5833,Heritage,Trump
3,1,74,3,1,1,3,3,5,3,1,3,0.3333,Slavery,Clinton
1,0,69,4,1,1,NA,3,1,3,1,1,0.0833,Slavery,Clinton
2.75,0,38,3,1,1,4,3,1,2,NA,1,0.0833,Slavery,Clinton
3,1,71,4,1,4,1,2,5,4,3,5,0.6667,Heritage,Trump
4.75,0,65,3,1,4,1,1,5,3,3,5,0.5833,Heritage,Trump
3.75,0,62,4,1,4,1,1,5,4,3,5,1,Heritage,Trump
1,0,84,6,1,1,4,4,1,2,NA,1,0,Slavery,Clinton
1,0,63,5,1,1,4,4,1,2,1,1,0,Slavery,Clinton
1,0,57,4,1,1,1,3,5,1,1,5,1,Heritage,Other
1.25,0,25,6,1,1,4,4,1,4,1,1,0,Slavery,Clinton
1,0,69,5,2,1,4,4,2,4,2,3,0.0833,Slavery,Clinton
2.5,0,55,5,1,1,2,2,1,2,3,4,0.5,Heritage,McMullin
1,1,81,6,1,1,4,4,1,3,1,3,0.1667,Slavery,Clinton
2.75,0,66,3,1,1,2,3,4,2,1,2,0.6667,Heritage,Clinton
1,0,80,6,1,1,4,4,1,1,1,1,0.1667,Slavery,Clinton
1,0,61,6,2,1,4,4,1,4,3,3,0.0833,Slavery,Clinton
1.25,1,62,2,1,1,3,3,1,2,1,2,0.3333,Slavery,Clinton
1,1,79,4,1,1,4,4,1,2,1,1,0,Slavery,Clinton
3,0,61,4,1,4,1,3,4,1,3,5,0.6667,Heritage,Trump
1.5,1,64,6,2,2,NA,NA,2,4,1,2,0.4167,Heritage,Clinton
2.5,0,65,3,5,4,1,1,5,4,2,4,0.4167,Heritage,Trump
3.25,1,73,5,1,4,1,1,5,2,2,4,0.6667,Heritage,Trump
3,0,70,2,1,3,2,1,5,3,2,5,0.9167,Heritage,Other
1.75,1,80,6,1,1,3,3,1,3,1,1,0.1667,Slavery,Clinton
1,0,76,3,1,1,4,1,1,4,1,3,0.3333,Slavery,Clinton
1,1,65,3,1,1,3,4,1,3,1,2,0.1667,Slavery,Clinton
2,1,47,5,1,NA,3,4,1,1,1,1,0,Slavery,Clinton
1,1,65,3,1,1,4,4,1,4,1,1,0.5833,Slavery,Clinton
1.75,0,72,1,1,3,NA,1,5,4,2,4,0.9167,Heritage,Trump
1.25,1,62,3,2,1,3,4,1,4,NA,2,0.0833,Slavery,Trump
1,1,42,6,3,1,3,3,1,4,1,2,0,Slavery,Clinton
1,1,67,2,1,1,4,4,1,3,1,2,0,Slavery,Clinton
1.75,0,76,6,1,4,1,3,4,3,3,4,0.4167,Heritage,Trump
1,1,82,3,1,1,3,4,1,3,1,3,0.0833,Slavery,Clinton
1,1,76,3,1,1,3,4,1,2,1,1,0,NA,Clinton
1.5,0,62,3,1,1,3,3,2,2,1,2,0.25,Slavery,Clinton
1,1,53,5,3,1,4,4,1,4,1,1,0,Slavery,Clinton
1,1,66,3,1,1,4,4,2,3,1,2,0.25,Slavery,Clinton
3,0,62,6,1,4,1,1,5,4,3,5,0.6667,Heritage,Trump
4.5,1,62,2,1,4,1,1,4,2,3,4,0.5833,Heritage,Trump
2,1,50,5,1,1,3,4,1,2,1,2,0.6667,Slavery,Clinton
1,1,43,3,1,2,NA,2,NA,3,2,4,0.5,Heritage,Trump
1,0,62,2,1,1,3,3,4,4,1,2,0.25,Slavery,Clinton
2,0,61,2,1,3,1,1,3,3,2,4,0.6667,Heritage,Trump
3,1,72,1,1,4,2,NA,5,3,3,4,0.6667,Heritage,Trump
3.75,0,65,1,1,4,1,1,5,4,3,5,0.9167,Heritage,Trump
1.5,0,69,6,1,1,3,3,1,3,1,1,0,Slavery,Clinton
3.5,0,69,3,1,4,1,1,5,2,3,4,0.8333,Heritage,Trump
2.25,0,62,5,2,1,3,4,1,3,2,3,0.3333,Slavery,Clinton
1,0,65,6,3,1,3,4,1,2,1,2,0,Slavery,Clinton
1.75,0,66,3,1,1,3,4,1,2,1,2,0,Slavery,Clinton
3,0,67,3,1,4,1,2,3,4,2,4,0.4167,Heritage,Trump
2,1,75,2,1,1,4,4,1,3,1,2,0.3333,Slavery,Clinton
1.25,0,82,3,1,2,NA,NA,1,4,2,3,0.4167,Heritage,Trump
2.75,0,66,3,1,4,1,2,4,1,2,3,0.5,Heritage,Trump
3,1,76,4,1,4,1,2,3,2,3,4,0.5833,Heritage,Trump
2.75,0,75,3,1,4,1,1,5,1,2,4,0.5833,Heritage,Did not vote
1,0,67,4,1,1,4,3,1,1,2,1,0.25,Slavery,Clinton
5,0,66,5,1,4,1,1,5,4,3,5,0.8333,Heritage,Trump
3,1,73,2,1,4,2,NA,4,3,3,4,0.5833,Heritage,Trump
3,0,71,3,1,4,1,NA,5,4,3,5,0.75,Heritage,Trump
3,0,73,3,1,3,1,2,4,3,2,4,0.5,Heritage,Trump
3,1,47,4,2,NA,4,4,NA,4,1,NA,0,NA,Clinton
3,1,57,3,1,4,1,1,4,3,3,5,0.5,Heritage,Trump
2.25,0,76,4,1,4,3,2,5,2,3,4,0.5833,Heritage,Trump
4.25,1,70,4,1,4,1,1,5,4,3,4,1,Heritage,Trump
1,0,66,6,1,4,1,1,4,3,2,4,0.4167,Heritage,Trump
2.5,0,69,4,1,3,1,1,3,NA,2,3,0.4167,Heritage,Trump
1.5,1,56,2,1,1,2,3,3,4,1,3,0.75,Heritage,Clinton
1.25,1,55,3,1,3,1,2,2,3,2,3,0.25,Heritage,Trump
1.75,0,82,3,1,3,1,1,3,2,3,3,0.6667,Heritage,Trump
3.5,0,70,3,1,4,1,1,4,4,3,5,0.6667,Heritage,Trump
1,0,71,3,1,1,3,3,3,3,1,2,0,Slavery,Clinton
1.75,1,69,4,1,1,4,4,1,4,1,3,0.6667,Heritage,Clinton
2,0,80,3,1,4,1,NA,5,2,2,5,0.8333,Heritage,Trump
1.75,1,84,5,1,1,4,4,2,2,2,3,0.25,Heritage,Clinton
1,0,82,4,1,1,2,NA,2,4,1,3,0.0833,Heritage,Clinton
3,0,72,3,1,4,1,1,5,3,3,5,0.3333,Heritage,Trump
2,1,67,3,3,1,NA,3,3,2,2,3,0.4167,Heritage,Johnson
1,1,72,2,1,1,3,3,1,2,1,2,0,Slavery,Clinton
3,1,42,2,1,3,2,2,4,3,3,3,0.75,Slavery,Trump
1,0,80,6,1,1,4,3,1,3,1,2,0.1667,Slavery,Clinton
1,1,59,2,1,3,1,3,2,4,3,4,0.3333,Heritage,Trump
1,0,73,3,1,1,4,1,1,2,1,2,0,Slavery,Clinton
1.75,1,67,3,1,2,3,4,4,2,2,3,0.6667,Heritage,Clinton
2.25,0,74,2,1,1,3,NA,1,2,NA,1,0.0833,Slavery,Stein
3.25,0,71,6,1,1,1,4,5,3,3,4,0.5833,Heritage,Clinton
3.5,0,88,2,1,4,1,2,5,4,NA,5,0.75,Heritage,Trump
1,1,66,6,1,1,4,4,1,2,2,3,0,NA,Stein
1,1,52,5,1,1,3,4,1,1,1,2,0.3333,Slavery,Clinton
3,1,56,3,1,3,NA,2,5,3,NA,4,0.5,Heritage,Trump
3.5,0,69,2,1,4,2,2,5,3,3,4,0.6667,Heritage,Trump
3,1,78,3,1,4,1,1,4,3,2,3,0.75,Heritage,Trump
1.25,1,76,2,1,1,3,3,2,4,1,2,0.4167,Slavery,Clinton
3.5,1,56,3,3,4,1,1,5,2,2,5,1,Heritage,Trump
1.75,0,81,6,1,1,3,3,4,3,2,3,0.4167,Heritage,Clinton
2.25,0,70,5,1,1,3,4,1,1,1,2,0,Slavery,Clinton
1,0,67,6,1,1,3,3,1,2,1,2,0.1667,Slavery,Clinton
1,0,46,2,1,1,4,4,1,1,1,1,0.3333,Slavery,Clinton
1.25,1,75,6,1,1,3,4,1,3,1,2,0.3333,Slavery,Clinton
1,0,66,5,1,1,4,4,1,1,2,1,0,Slavery,Clinton
1,0,40,6,6,1,4,4,1,1,NA,1,0,Slavery,Clinton
3,0,68,3,1,4,1,1,5,3,3,4,0.1667,Heritage,Trump
1.25,1,70,3,1,1,3,3,1,4,2,3,0.5,Slavery,Clinton
2.25,0,83,3,1,4,1,1,5,3,3,4,0.8333,Heritage,Trump
2.5,0,77,2,1,4,2,2,5,1,2,3,0.5833,Heritage,Did not vote
1,1,70,2,1,1,3,3,2,3,1,3,0.1667,Slavery,Clinton
1,0,77,3,1,1,3,4,1,2,2,4,0,Slavery,Clinton
2.25,0,41,6,1,4,1,1,5,2,3,4,1,Heritage,Trump
1,0,71,5,1,1,3,3,1,1,1,3,0.0833,Slavery,Clinton
1.75,0,66,2,3,1,3,3,3,4,1,4,0.5833,NA,Clinton
2.75,0,64,2,1,4,1,NA,4,2,3,5,0.5,Heritage,Trump
2.75,0,81,4,6,1,4,NA,3,4,1,2,0.6667,Slavery,Clinton
1,1,58,5,1,1,3,4,1,2,1,1,0,Slavery,Clinton
1,0,75,6,1,1,3,3,3,4,1,1,0.5833,Slavery,Clinton
2,1,79,2,1,1,3,4,2,2,1,2,0.25,Slavery,Clinton
1,0,74,4,2,1,4,4,1,4,1,2,0.0833,Slavery,Clinton
1,1,47,2,3,1,4,4,1,3,1,1,0.25,Slavery,Clinton
4,0,80,3,1,4,3,2,5,2,3,5,0.3333,Heritage,Trump
2.25,1,55,5,1,3,1,1,4,3,2,4,0.8333,Heritage,Trump
2,0,68,6,1,4,1,1,5,2,3,4,0.5833,Heritage,Trump
2.25,1,88,2,1,1,3,4,4,3,1,3,0.5,Slavery,Clinton
2,0,73,4,1,4,1,2,5,2,2,4,0.4167,Heritage,Trump
2.5,1,77,2,1,4,4,NA,3,2,3,5,0.25,Heritage,Trump
2,0,60,5,2,2,2,1,5,4,1,2,0.5833,Heritage,Clinton
1,1,68,1,1,4,4,NA,5,2,3,4,0.6667,Slavery,Trump
1,1,70,2,1,1,3,4,1,2,2,2,0.1667,Slavery,Clinton
1,0,74,2,1,4,1,1,5,4,2,4,0.6667,Heritage,Trump
1.5,1,82,2,1,1,3,3,2,2,1,2,0.5,Slavery,Clinton
1,0,78,6,1,1,3,3,2,4,1,1,0.3333,Heritage,Clinton
3.25,1,60,2,1,3,1,2,5,3,2,3,0.75,Heritage,Trump
2,0,54,6,1,1,3,2,1,1,2,3,0.3333,Slavery,Clinton
1,0,76,3,1,1,3,4,3,3,1,2,0.5833,Slavery,Clinton
3,0,56,3,7,3,NA,NA,4,1,NA,3,0.6667,Heritage,Other
1,0,69,6,1,1,4,4,1,1,2,2,0.1667,Slavery,Clinton
2,0,61,4,2,1,3,4,4,3,2,3,0.5833,Slavery,Clinton
2.5,1,68,3,1,2,3,2,4,4,3,3,0.5833,Heritage,Did not vote
3,0,86,3,1,4,1,1,4,2,3,4,0.5,Heritage,Trump
1.5,0,32,5,1,1,4,4,1,2,1,1,0,Slavery,Clinton
2,0,40,5,1,1,4,1,1,1,1,1,0,Heritage,Clinton
3,1,68,5,1,4,1,1,4,2,3,5,0.5,Heritage,Trump
2.75,1,68,3,1,4,1,1,5,4,3,5,0.8333,Heritage,Trump
1,1,68,6,1,1,3,3,1,3,2,3,0.1667,Slavery,Clinton
1.5,1,72,4,1,1,4,4,1,3,1,2,0.1667,Slavery,Clinton
1.5,0,64,3,1,1,4,4,1,2,1,1,0.25,Slavery,Clinton
2,1,64,6,2,1,3,3,3,4,2,3,0.0833,Slavery,Clinton
2,1,33,3,1,1,3,3,1,2,2,2,0.25,Slavery,Clinton
2,1,67,6,1,1,NA,3,5,4,1,3,0.8333,Heritage,Trump
4.75,0,70,3,1,4,1,1,5,4,3,5,1,Heritage,Trump
3.25,0,50,3,1,4,1,1,4,3,2,4,0.8333,Heritage,Trump
1.75,0,63,3,1,4,1,1,3,4,3,4,0.1667,Heritage,Trump
1.5,1,67,3,1,1,3,3,1,1,1,2,0.0833,Slavery,Clinton
1,1,75,3,2,1,4,3,2,4,1,1,0.25,Slavery,Clinton
1,0,69,3,1,1,4,4,1,2,1,2,0,Slavery,Clinton
2.5,0,64,6,1,2,2,2,3,2,3,4,0.75,Heritage,Trump
2,0,71,4,1,1,3,3,1,3,3,4,0.0833,Slavery,Trump
4.5,1,65,6,1,4,1,2,1,4,2,3,0.75,NA,Trump
3,1,56,3,1,4,2,3,3,4,3,NA,0.5,NA,Trump
2,1,55,4,1,4,1,NA,3,1,3,5,0.3333,Heritage,Trump
2.5,0,59,6,1,1,3,3,4,2,2,3,0.4167,Slavery,Clinton
1,1,63,3,1,1,4,4,1,2,1,1,0.4167,Slavery,Clinton
1,1,65,6,1,1,3,3,1,3,1,2,0.1667,Slavery,Clinton
2.75,1,67,5,6,1,3,3,2,4,2,4,0.6667,Slavery,Clinton
1.75,1,59,3,1,1,3,3,2,3,1,3,0.25,Slavery,Clinton
1.5,1,47,3,1,1,3,4,1,2,1,1,0.1667,Slavery,Clinton
2.25,1,58,3,1,1,3,4,4,2,3,4,0.9167,Heritage,Johnson
3.25,0,59,4,1,4,1,1,5,1,2,3,0.8333,Heritage,Trump
1.25,0,59,4,1,4,1,1,2,1,3,4,0.5833,Heritage,Trump
1.5,0,57,4,5,1,3,3,2,4,1,2,0.5,Slavery,Clinton
2,1,73,6,1,1,2,3,1,3,2,3,0.1667,Slavery,Clinton
2.25,0,78,6,1,1,4,4,2,3,1,2,0.4167,Slavery,Clinton
2.25,0,72,6,1,4,1,2,3,2,3,4,0.5833,Heritage,Trump
3,1,69,3,1,1,3,2,3,2,1,3,0.5,NA,Clinton
1.5,0,71,4,1,1,4,4,1,1,1,3,0.1667,Slavery,Clinton
2,0,83,3,1,4,4,4,5,3,3,5,0.5833,Heritage,Trump
2.75,0,65,4,1,4,2,2,4,2,2,3,0.5,Heritage,Trump
1,0,77,6,1,1,3,3,5,1,2,2,0.6667,Slavery,Clinton
2,0,50,4,1,4,1,1,3,2,3,4,0.6667,Heritage,Trump
1,1,72,5,1,1,4,4,1,2,1,2,0,Slavery,Clinton
3,0,70,3,1,4,2,2,3,3,2,4,0.4167,Heritage,Trump
2,1,74,5,1,4,1,1,5,2,2,5,0.6667,Heritage,Trump
1.5,0,67,3,1,1,NA,NA,2,2,2,3,0.4167,Heritage,Did not vote
2.25,0,67,3,1,1,4,4,1,1,1,2,0.3333,Heritage,Clinton
2,1,62,4,1,4,1,2,5,4,3,5,0.5833,Heritage,Trump
1,1,71,4,1,1,3,3,2,4,2,3,0.4167,NA,Did not vote
1,1,73,5,1,1,4,4,2,4,1,1,0,Slavery,Did not vote
2.75,0,78,3,1,3,1,1,5,4,3,4,0.5,Heritage,Trump
1,0,66,3,1,1,4,4,NA,2,NA,1,0.0833,Slavery,Clinton
1,0,55,3,1,1,4,4,1,1,1,1,0.1667,Slavery,Clinton
1,0,71,4,1,1,3,3,1,2,1,1,0,NA,Clinton
1.25,1,67,3,1,1,4,4,1,1,1,1,0,Slavery,Clinton
2.25,0,78,5,1,4,1,1,5,NA,2,5,0.3333,Heritage,Trump
1,1,72,5,1,1,4,4,1,3,1,1,0,Slavery,Clinton
3,1,66,5,1,4,1,2,3,4,3,4,0.5833,Heritage,Trump
3,1,72,3,1,4,4,NA,5,4,3,3,0.8333,NA,Trump
1.25,0,68,3,1,1,4,4,1,2,1,2,0.0833,Slavery,Clinton
2,0,69,5,1,3,2,1,4,2,3,4,0.5833,Heritage,Trump
2.5,0,68,4,1,4,1,2,5,4,3,4,0.6667,Heritage,Trump
4.25,0,75,6,1,4,1,1,5,3,3,4,0.6667,Heritage,Trump
2.25,1,68,5,2,1,4,4,2,4,1,2,0.3333,Slavery,Clinton
1,1,71,4,1,1,3,4,1,3,1,2,0.25,Slavery,Clinton
2,1,74,4,1,4,1,1,4,3,3,4,0.5833,Slavery,Trump
2.75,0,72,3,1,3,3,NA,4,2,2,NA,0.4167,Heritage,Trump
3.25,1,66,5,1,4,1,1,4,3,2,4,0.25,Heritage,Trump
1,0,75,6,1,1,4,3,1,1,1,3,0,Slavery,Clinton
2.75,1,76,3,1,3,NA,NA,4,4,3,5,0.9167,Heritage,Trump
1.75,1,65,3,1,1,4,4,2,2,1,3,0.25,Slavery,Clinton
3,1,54,2,1,NA,NA,NA,3,4,1,NA,0.5,NA,Did not vote
1,1,67,3,1,1,3,3,2,4,2,2,0.5,Slavery,Did not vote
1,0,68,3,1,1,4,4,1,4,1,3,0,Slavery,Clinton
3.5,0,61,3,1,4,1,2,5,2,3,4,0.75,Heritage,Trump
1.5,0,84,3,1,3,1,2,4,4,3,4,0.6667,Heritage,Trump
1.75,1,74,3,1,4,2,2,4,2,3,5,0.5,Heritage,Trump
1.25,0,67,5,1,1,4,3,1,3,2,2,0.3333,NA,Clinton
2.75,0,59,3,1,1,1,1,1,1,NA,NA,0,Slavery,Other
2.75,0,73,4,1,4,1,2,5,4,3,4,0.75,Heritage,Trump
1,1,58,4,1,1,3,2,3,3,1,3,0.4167,Slavery,Clinton
1.75,1,64,5,2,1,4,4,1,4,2,3,0,Slavery,Clinton
1,1,68,4,1,1,3,4,1,3,1,3,0.4167,Slavery,Clinton
3.25,0,78,5,1,2,2,2,4,3,3,4,0.5,Slavery,McMullin
2,1,55,2,1,1,4,4,4,4,1,3,0.6667,Heritage,Clinton
